ticker,date,time,headline,neg,neu,pos,compound
TSLA,2020-05-19,04:39AM,Teslas China Car Registrations Plummet In April- LMC Auto,0.0,1.0,0.0,0.0
TSLA,2020-05-19,02:38AM,Tokyo shares hit 2-1/2 month high on hopes for swift reopening of economy,0.0,0.595,0.405,0.7003
TSLA,2020-05-19,12:37AM,Tesla's China car registrations plunge 64% month-on-month in April,0.0,1.0,0.0,0.0
TSLA,2020-05-19,12:24AM,Tesla's China car registrations plunge 64% m/m in April,0.0,1.0,0.0,0.0
TSLA,2020-05-19,12:15AM,"Tesla 'Full Self-Driving' To Cost Extra $1,000 Starting July, Musk Says",0.0,1.0,0.0,0.0
TSLA,2020-05-18,11:15PM,Elon Musk: Tesla raises cost of 'self-driving' cars,0.0,1.0,0.0,0.0
TSLA,2020-05-18,11:11PM,Nikkei hits 2-1/2 month high on economy reopening hopes,0.0,0.741,0.259,0.4215
TSLA,2020-05-18,10:48PM,An easing of coronavirus prevention measures helps China's auto plants rev up,0.0,0.685,0.315,0.5574
TSLA,2020-05-18,08:29PM,"Tesla to raise price of 'full self-driving' option by $1,000 starting July 1",0.0,1.0,0.0,0.0
TSLA,2020-05-18,04:46PM,"Dow rises more than 900 points, books its biggest daily advance in 6 weeks on coronavirus vaccine hope",0.0,0.847,0.153,0.4404
TSLA,2020-05-18,04:11PM,How Does David Einhorn Value Companies?,0.0,0.676,0.324,0.34
TSLA,2020-05-18,03:41PM,Tesla Gets Permission to Ramp Back Up to Full Production in California,0.0,1.0,0.0,0.0
TSLA,2020-05-18,02:55PM,"Panasonic Hopes To Recharge Tesla Battery Partnership, Eyes Gigafactory Expansion",0.0,0.763,0.237,0.4215
TSLA,2020-05-18,02:54PM,Coronavirus update: Global case tally reaches 4.8 million; Chinas Xi supports WHO-backed probe of origins of pandemic  once the crisis is over,0.153,0.709,0.138,-0.34
TSLA,2020-05-18,12:46PM,"Tesla CEO Elon Musk is a Genius, Trump Says",0.0,1.0,0.0,0.0
TSLA,2020-05-18,11:33AM,"Auto Stock Roundup: TM Beats on Q4 Earnings, HMC Incurs Loss & More",0.173,0.827,0.0,-0.3182
TSLA,2020-05-18,10:25AM,Elon Musk and Ivanka Trump share a moment on Twitter  then the creator of The Matrix claps back,0.0,0.879,0.121,0.296
TSLA,2020-05-18,10:00AM,"The Zacks Analyst Blog Highlights: Tesla, Uber, Lyft and General Motors",0.0,1.0,0.0,0.0
TSLA,2020-05-18,09:21AM,Teslas Factory Is Reopening Today. Why Its Next Earnings Will Crush Estimates.,0.127,0.873,0.0,-0.1531
TSLA,2020-05-18,08:15AM,"Dow Jones Futures Signal Coronavirus Market Rally On Vaccine Hopes; Apple, Tesla Lead Tech Giants Near Buy Points",0.0,0.859,0.141,0.4215
TSLA,2020-05-18,06:32AM,Illinois Will Classify Defying Stay-At-Home Orders As Misdemeanor For Businesses,0.0,1.0,0.0,0.0
TSLA,2020-05-18,04:19AM,"Elon Musk's 'Take The Red Pill,' Tweet Raises Speculation Over Its Meaning",0.0,1.0,0.0,0.0
TSLA,2020-05-18,02:40AM,"Panasonic sees strong demand from Tesla, in talks to expand Nevada battery plant",0.088,0.585,0.327,0.6249
TSLA,2020-05-18,02:36AM,Panasonic reports 29% drop in annual operating profit,0.191,0.545,0.264,0.2023
TSLA,2020-05-18,12:37AM,Tesla Receives County Approval To Restart Fremont Production A Week After Musk's Threats,0.176,0.629,0.195,0.0772
TSLA,2020-05-17,06:24PM,Tesla gets county approval to reopen Fremont factory: report,0.0,0.721,0.279,0.4767
TSLA,2020-05-17,06:02PM,Can CARZ ETF Gain Despite Mixed Auto Earnings?,0.0,0.673,0.327,0.5267
TSLA,2020-05-17,04:56PM,U.S. Cases Slow; Disney Starts to Open in Florida: Virus Update,0.0,1.0,0.0,0.0
TSLA,2020-05-17,12:43PM,Tesla Reopens Plant and Now Says It Has Countys Approval,0.0,0.744,0.256,0.4767
TSLA,2020-05-17,10:18AM,Tesla Gets County Nod to Reopen California Auto Plant  Report,0.0,1.0,0.0,0.0
TSLA,2020-05-17,10:16AM,"Benzinga's Bulls And Bears Of The Week: Boeing, SmileDirectClub, Tesla And More",0.0,1.0,0.0,0.0
TSLA,2020-05-16,08:50AM,"Elon Musks actions encourage outrageous behavior and he needs to grow up, says green-tech blogger",0.155,0.674,0.171,0.0772
TSLA,2020-05-15,11:28PM,California officials reject subsidies for Musk's SpaceX over Tesla spat,0.231,0.769,0.0,-0.4019
TSLA,2020-05-15,09:25PM,Tesla picks Austin and Tulsa as finalists for new U.S. factory,0.0,1.0,0.0,0.0
TSLA,2020-05-15,07:59PM,"Tesla has named Austin, Texas, and Tulsa, Okla., as finalists for new U.S. factory",0.0,1.0,0.0,0.0
TSLA,2020-05-15,05:00PM,California officials reject subsidies for Musk's SpaceX over Tesla spat,0.231,0.769,0.0,-0.4019
TSLA,2020-05-15,04:57PM,"Tesla scouts head to Tulsa, Austin as hunt for Cybertruck gigafactory location nears end",0.0,1.0,0.0,0.0
TSLA,2020-05-15,04:08PM,"Stock Market Rally Tested: Tesla Fremont Reopens, Recent IPOs Datadog, OneMedical Soar On Earnings",0.0,1.0,0.0,0.0
TSLA,2020-05-15,03:00PM,The Relentless Oil Price Rally,0.0,0.769,0.231,0.0516
TSLA,2020-05-15,01:25PM,Nio Is a Solid Bet for the Chinese Electric Vehicle Space,0.0,0.849,0.151,0.1531
TSLA,2020-05-15,12:49PM,Tesla Racing to Give Gasoline Cars a Run for Their Money,0.0,1.0,0.0,0.0
TSLA,2020-05-15,12:16PM,An Old Question Revisited: Is Value Investing Dead?,0.339,0.472,0.189,-0.4404
TSLA,2020-05-15,12:04PM,Tesla To Launch Low-Cost 'Million Mile' Battery That Drastically Reduces Cost Of EVs: Report,0.0,1.0,0.0,0.0
TSLA,2020-05-15,11:40AM,"Thanks to Elon Musk, Tesla Stock Is in a Pricey Class of Its Own",0.0,0.805,0.195,0.4404
TSLA,2020-05-15,11:32AM,Better-Than-Expected Car Sales Boost Auto Parts Stocks,0.0,0.69,0.31,0.4019
TSLA,2020-05-15,11:20AM,Nasdaq ETF (QQQ) Joins $100 Billion Club: 10 Stock Winners,0.0,0.744,0.256,0.4767
TSLA,2020-05-15,11:13AM,"How to Trade Tesla for Its Run to $1,000",0.0,1.0,0.0,0.0
TSLA,2020-05-15,11:05AM,Implied Volatility Surging for Tesla (TSLA) Stock Options,0.0,1.0,0.0,0.0
TSLA,2020-05-15,09:13AM,Tesla Partners With CATL to Develop New Million-Mile Battery,0.0,1.0,0.0,0.0
TSLA,2020-05-15,06:00AM,Can We Finally Stop Listening to Elon Musk Now?,0.216,0.784,0.0,-0.296
TSLA,2020-05-15,12:18AM,"Elon Musk, Teslas mad genius defies US lockdown",0.314,0.686,0.0,-0.4939
TSLA,2020-05-14,06:49PM,Texas Cases Jump; AMA Warns on Antibody Tests: Virus Update,0.135,0.865,0.0,-0.1027
TSLA,2020-05-14,06:09PM,Stock Market Today With Jim Cramer: Buy Cisco Stock?,0.0,1.0,0.0,0.0
TSLA,2020-05-14,05:45PM,Growth Stocks Like Amazon And Tesla Share These Key Metrics: Advisor,0.0,0.438,0.562,0.7906
TSLA,2020-05-14,03:44PM,Tesla HR: choosing not to work may impact benefits,0.0,0.755,0.245,0.3818
TSLA,2020-05-14,03:19PM,Top 5 Shareholders of Tesla,0.0,0.625,0.375,0.2023
TSLA,2020-05-14,02:10PM,Tesla Won the Battle to Reopen Its Fremont Factory. Why It Could Still Lose the War.,0.369,0.482,0.149,-0.6705
TSLA,2020-05-14,02:06PM,Elon Musk Finishes Digging Las Vegas Loop Train,0.0,1.0,0.0,0.0
TSLA,2020-05-14,01:52PM,Report: Tesla Battery Research Work May Pay Off Soon,0.149,0.851,0.0,-0.1027
